text,label,need_amb,source,is_synthetic
Fell from ladder - deformed ankle,fractures,1.0,https://www.nhs.uk,0.0
Fainted during heatwave - now drinking water,fainting,0.0,https://www.who.int,0.0
Toddler choking on small toy - weak cough and pale skin,choking,1.0,(Synthetic),1.0
Broken tile caused deep wound on ankle,wounds,1,(Synthetic),1
Snake hidden in boots bit ankle,snake_bite,1,(Synthetic),1
A worker touched a faulty exposed wire and collapsed after a visible jolt. Coworkers turned off power and called EMS.,electric_shock,1.0,https://www.nhs.uk/conditions/electric-shock/,0.0
Woke up to find bite marks after sleeping outdoors,rabies,1,(Synthetic),1
Child submerged in pool for 2 minutes - responsive but coughing,drowning,1.0,(Synthetic),1.0
Baby choking on cereal - gagging but still breathing,choking,0.0,https://www.redcross.org,0.0
Scorpion sting with seizures,scorpion_sting,1.0,(Synthetic),1.0
Hot pan - red mark,burns,0.0,https://www.redcross.org,0.0
He fell off the ladder – leg twisted and can’t move!,fractures,1,(Synthetic),1
Stubbed toe - painful but no deformity,fractures,0.0,https://www.nhs.uk,0.0
Wrist sprain - swollen,fractures,0.0,https://www.nhs.uk,0.0
Chemical explosion - third-degree burns on 40% of body,burns,1.0,(Synthetic),1.0
Electric shock from exposed wires - minor hand burns,electric_shock,1.0,(Synthetic),1.0
Pet bird peck - no rabies risk,rabies,0.0,(Synthetic),1.0
Deep laceration from chainsaw - blood spurting rhythmically,wounds,1.0,https://www.redcross.org,0.0
"Teen pulled from lake - not breathing, pupils fixed",drowning,1.0,(Synthetic),1.0
Mild scorpion sting - pain subsiding with ice,scorpion_sting,0.0,(Synthetic),1.0
CONSTRUCTION WORKER CRUSHED UNDER BEAM - MULTIPLE FRACTURES AND INTERNAL INJURIES SUSPECTED!,cpr,1.0,(Synthetic),1.0
Industrial accident - partial amputation of fingers,wounds,1.0,(Synthetic),1.0
Non-venomous snake bite - no symptoms,snake_bite,0.0,(Synthetic),1.0
Pet snake bite - minimal break in skin,snake_bite,0.0,(Synthetic),1.0
Bat contact during sleep - bite mark,rabies,1.0,(Synthetic),1.0
"climbed fence – fell badly, elbow swollen!",fractures,1,(Synthetic),1
Elderly man collapsed in park - bystanders doing CPR until EMS arrives,cpr,1.0,https://www.redcross.org,0.0
Toddler coughing weakly after swallowing button battery,choking,1.0,(Synthetic),1.0
Bitten while camping – snake crawled into tent,snake_bite,1,(Synthetic),1
Teenager collapsed during sports - sudden cardiac arrest,cpr,1.0,(Synthetic),1.0
Unknown snake bite with neurotoxic symptoms - ptosis present,snake_bite,1.0,(Synthetic),1.0
Wasp sting - localized swelling,bee_sting,0.0,(Synthetic),1.0
Stubbed finger - painful,fractures,0.0,https://www.nhs.uk,0.0
Small shock - no burn,electric_shock,0.0,(Synthetic),1.0
Toddler choking on small toy - weak cough and pale,choking,1.0,(Synthetic),1.0
"Unresponsive newborn - turning blue, rescue breaths given",cpr,1.0,https://www.redcross.org,0.0
Cardiac arrest during marathon - CPR in progress,cpr,1.0,https://www.redcross.org,0.0
Surfer wiped out - not breathing when pulled ashore,drowning,1.0,(Synthetic),1.0
Burned by candle wax while lighting incense,burns,0,(Synthetic),1
Crush injury in factory - multiple metacarpal fractures,fractures,1.0,(Synthetic),1.0
Intense pain and swelling after suspected viper bite,snake_bite,1.0,(Synthetic),1.0
Stubbed toe - momentary pain,fractures,0.0,(Synthetic),1.0
Gash on forehead from falling branch,wounds,1,(Synthetic),1
Pet rabbit nuzzled hand,rabies,0.0,(Synthetic),1.0
Accidental contact with car radiator – instant burn,burns,1,(Synthetic),1
Bee flew into shirt and stung multiple times on back,bee_sting,1,(Synthetic),1
Scorpion sting with muscle twitching,scorpion_sting,1.0,(Synthetic),1.0
Chainsaw accident - deep laceration to thigh with pulsatile bleeding,wounds,1.0,(Synthetic),1.0
Open wound on arm after falling off bike,wounds,1,(Synthetic),1
Fainted from dehydration - now drinking water,fainting,0.0,https://www.who.int,0.0
Single mosquito bite - normal reaction,bee_sting,0.0,(Synthetic),1.0
Scuba diver lost consciousness underwater,drowning,1.0,(Synthetic),1.0
Elderly woman fainted and broke hip in fall,fainting,1.0,(Synthetic),1.0
Swallowed small amount of pool water,drowning,0.0,(Synthetic),1.0
Gymnast landed badly - compound wrist fracture,fractures,1.0,(Synthetic),1.0
"Elderly man collapsed - no pulse, CPR initiated",cpr,1.0,https://www.redcross.org,0.0
Stung on hand while picking fruit in garden,bee_sting,0,(Synthetic),1
"Small cooking oil burn - red skin, no blisters",burns,0.0,https://www.redcross.org,0.0
Baby choking on food - gagging,choking,0.0,(Synthetic),1.0
Baby choking on teething biscuit - silent crying with blue lips,choking,1.0,https://www.redcross.org,0.0
Minor scratch from thorn bush,wounds,0.0,(Synthetic),1.0
Man collapsed at mall - CPR started,cpr,1.0,https://www.redcross.org,0.0
Honeybee sting - mild,bee_sting,0.0,https://www.cdc.gov,0.0
Scorpion sting on hand - numbness moving up arm,scorpion_sting,1.0,(Synthetic),1.0
Bee stung ear at playground – child cried in pain,bee_sting,1,(Synthetic),1
finger looks crooked after basketball fall,fractures,0,(Synthetic),1
"Africanized bee attack - 200+ stings, vomiting blood",bee_sting,1.0,(Synthetic),1.0
Unresponsive diabetic with no pulse,cpr,1.0,https://www.redcross.org,0.0
Stubbed toe on furniture - no swelling,fractures,0.0,https://www.webmd.com,0.0
Person bitten while rescuing shivering stray dog,rabies,1,(Synthetic),1
Teen fainted during exam - hit head on desk,fainting,1.0,(Synthetic),1.0
Fainted after vaccine - recovered,fainting,0.0,https://www.who.int,0.0
Brief sun exposure - no burn,burns,0.0,(Synthetic),1.0
Bird peck - none,rabies,0.0,(Synthetic),1.0
"Fell from bicycle - deformed wrist, possible fracture",fractures,1.0,https://www.nhs.uk,0.0
Face swollen after unexpected sting during jog,bee_sting,1,(Synthetic),1
Bat found in bedroom - small bite mark on arm,rabies,1.0,(Synthetic),1.0
Fireplace ember landed on foot – burning pain,burns,1,(Synthetic),1
Tingling sensation after minor kitchen appliance shock,electric_shock,0.0,(Synthetic),1.0
Multiple bee stings - allergic reaction,bee_sting,1.0,https://www.cdc.gov,0.0
Fox attacked while camping – deep bite on the calf,rabies,1,(Synthetic),1
Single hornet sting - normal reaction,bee_sting,0.0,https://www.cdc.gov,0.0
Hot soup spilled onto toddler's lap,burns,1,(Synthetic),1
Microwave container melted – chemical burn on lips,burns,1,(Synthetic),1
Chainsaw accident - severe leg wound,wounds,1.0,(Synthetic),1.0
Jumped and landed wrong – severe ankle pain!,fractures,1,(Synthetic),1
Man fainted after blood test - now conscious,fainting,0.0,https://www.who.int,0.0
Unknown animal bite during night walk in rural area,rabies,1,(Synthetic),1
Pet hamster nibbled finger - no broken skin,rabies,0.0,https://www.avma.org,0.0
Scorpion sting with tingling in fingers,scorpion_sting,1.0,(Synthetic),1.0
Pet bird pecked finger - no wound,rabies,0.0,(Synthetic),1.0
Hiker bitten by RATTLESNAKE - EXTREME PAIN AND SWELLING RAPIDLY SPREADING!,snake_bite,1.0,https://www.nps.gov,0.0
Broken bottle stabbing - deep abdominal wound,wounds,1.0,(Synthetic),1.0
Possible broken wrist after fall,fractures,1.0,https://www.nhs.uk,0.0
Scorpion sting with numbness in arm,scorpion_sting,1.0,(Synthetic),1.0
Paper cut - minor,wounds,0.0,https://www.redcross.org,0.0
Teen shocked by phone charger - small burn on fingers,electric_shock,0.0,(Synthetic),1.0
Elderly stroke patient choking on liquids,choking,1.0,(Synthetic),1.0
Teen girl fainted after blood draw - woke up dizzy but oriented,fainting,0.0,https://www.nhs.uk,0.0
Electrician's apprentice shocked by live wire - burn marks on palm,electric_shock,1.0,(Synthetic),1.0
Man fainted after seeing blood - woke up immediately,fainting,0.0,(Synthetic),1.0
Woman fainted at wedding - woke up dizzy but oriented,fainting,0.0,https://www.nhs.uk,0.0
Small electric shock - no visible injury,electric_shock,0.0,(Synthetic),1.0
"Worker collapsed on construction site - no pulse, skin turning gray",cpr,1.0,(Synthetic),1.0
Choked on saliva - coughed and recovered,choking,0.0,https://www.health.harvard.edu,0.0
Choking on steak - can't speak and panicking,choking,1.0,https://www.redcross.org,0.0
Pet rat licked finger,rabies,0.0,(Synthetic),1.0
Woman fainted after seeing blood - seizure-like movements,fainting,1.0,(Synthetic),1.0
Wild animal bite while exploring abandoned barn,rabies,1,(Synthetic),1
Stray dog bit jogger and ran off into forest,rabies,1,(Synthetic),1
Small scorpion sting - pain subsiding with antihistamines,scorpion_sting,0.0,https://www.poison.org,0.0
Lightning strike victim - burn marks in tree-branch pattern,electric_shock,1.0,(Synthetic),1.0
Honeybee sting - mild swelling,bee_sting,0.0,https://www.cdc.gov,0.0
Sudden bite from dog showing signs of confusion,rabies,1,(Synthetic),1
Non-venomous snake bite - small marks,snake_bite,0.0,(Synthetic),1.0
A teenager fainted while donating blood. Volunteers laid him flat and gave him juice.,fainting,0.0,https://www.nhs.uk/conditions/fainting/,0.0
Known allergy - bee sting on neck with face swelling,bee_sting,1.0,(Synthetic),1.0
Minor wound from metal shelf edge,wounds,0,(Synthetic),1
Non-venomous snake bite - minor,snake_bite,0.0,(Synthetic),1.0
Child stung on toe while playing outside at dusk,scorpion_sting,1,(Synthetic),1
"During lunch, a woman suddenly clutched her throat and became silent. Emergency services were contacted immediately.",choking,1.0,https://www.redcross.org/take-a-class/first-aid/first-aid-classes/choking,0.0
Pet rabbit scratch - no risk,rabies,0.0,(Synthetic),1.0
Choking on chewing gum - panicking,choking,1.0,(Synthetic),1.0
Surfer rescued from riptide - alert with mild hypoxia,drowning,0.0,https://www.redcross.org,0.0
Dropped something heavy – fingers turning purple!,fractures,1,(Synthetic),1
Molten metal splash - full thickness burns,burns,1.0,(Synthetic),1.0
Child found floating in pool - unresponsive and not breathing,drowning,1.0,https://www.who.int,0.0
Diver not breathing after rescue,drowning,1.0,(Synthetic),1.0
Fell from roof - arm deformed,fractures,1.0,(Synthetic),1.0
Steam burn while cooking - first degree redness on arm,burns,0.0,(Synthetic),1.0
"Elderly man choking on dentures - blue lips, weak pulse",choking,1.0,(Synthetic),1.0
Infant not breathing after choking incident - mother performing rescue breaths,cpr,1.0,https://www.redcross.org,0.0
Child splashed with hot tea - first degree redness,burns,0.0,(Synthetic),1.0
Scraped arm on rough wall – skin torn,wounds,0,(Synthetic),1
Electric shock from faulty appliance - minor burn on palm,electric_shock,0.0,(Synthetic),1.0
Bee sting - normal,bee_sting,0.0,https://www.cdc.gov,0.0
Crushed hand in machinery - multiple fractures,fractures,1.0,(Synthetic),1.0
Scorpion sting - mild pain,scorpion_sting,0.0,(Synthetic),1.0
Fainted briefly after blood draw - now normal,fainting,0.0,https://www.who.int,0.0
Possible sprained wrist,fractures,0.0,https://www.nhs.uk,0.0
Black mamba bite - paralysis starting in legs,snake_bite,1.0,(Synthetic),1.0
Deep laceration from broken glass - stitches needed,wounds,1.0,(Synthetic),1.0
Bat found in bedroom - small bite on child's toe,rabies,1.0,https://www.batcon.org,0.0
Man pulled out unconscious from river,drowning,1,(Synthetic),1
Dog bite from unknown stray animal,rabies,1.0,(Synthetic),1.0
Snake hiding in backpack bit neck,snake_bite,1,(Synthetic),1
Construction worker fell from scaffolding - unconscious with irregular breathing,cpr,1.0,(Synthetic),1.0
Scorpion sting while working in basement,scorpion_sting,1,(Synthetic),1
Desert hiker stung by bark scorpion - muscle twitching,scorpion_sting,1.0,https://www.azdhs.gov,0.0
Elderly man passed out in synagogue - awake but disoriented,fainting,0.0,https://www.nhs.uk,0.0
"Sunburn - red skin, no blisters",burns,0.0,https://www.redcross.org,0.0
Open wound from bite by unvaccinated farm dog,rabies,1,(Synthetic),1
Guinea pig scratch - superficial,rabies,0.0,(Synthetic),1.0
Driver found unresponsive in car after accident - bystander doing CPR,cpr,1.0,(Synthetic),1.0
Stray dog bite in rabies-endemic area,rabies,1.0,(Synthetic),1.0
Garter snake in yard - no contact,snake_bite,0.0,(Synthetic),1.0
Possible sprained wrist - swelling,fractures,0.0,https://www.nhs.uk,0.0
Child pulled from pool - coughing up water,drowning,0.0,(Synthetic),1.0
Sharp pain and two marks after bite while camping,snake_bite,1,(Synthetic),1
Child went under in backyard pool,drowning,1,(Synthetic),1
Bee sting - no allergic reaction,bee_sting,0.0,(Synthetic),1.0
Scorpion sting on foot – intense pain and swelling,scorpion_sting,1,(Synthetic),1
Stubbed finger - no swelling,fractures,0.0,https://www.nhs.uk,0.0
Newborn not breathing - rescue breaths given,cpr,1.0,https://www.redcross.org,0.0
Cat licked hand - no scratch,rabies,0.0,(Synthetic),1.0
